distribution,n_parameters,aic,aicc,delta_aicc
Normal,2,186.08084438979586,186.88084438979587,0
Negative Binomial,2,188.47167047662575,189.27167047662576,2.3908260868298896
Gamma,2,188.84172356351897,189.64172356351898,2.7608791737231115
Poisson,1,379.4848704488852,379.7348704488852,192.85402605908934
