treatment,observed_total,observed_ci_lower,observed_ci_upper,expected_median,expected_ci_lower,expected_ci_upper,difference,percent_difference
1,107.55555555555564,90.98486108676758,124.1262500243437,NA,NA,NA,NA,NA
3,307.50000000000006,250.09303836254315,364.90696163745696,322,195.97500000000002,449,-14.499999999999943,-4.503105590062094
6,588.3333333333336,463.0414416031288,713.6252250635383,645,465,826,-56.6666666666664,-8.785529715762234
