variable,PC1_loading,PC2_loading,PC1_variance_explained,PC2_variance_explained
growth_vol_b,0.14847600035616215,-0.8159814185761343,0.525242908025272,0.2303229614810194
protein_mg_cm2,0.5340807552510175,-0.23843024837790205,0.525242908025272,0.2303229614810194
carb_mg_cm2,0.5638539799578707,-0.07529026601398764,0.525242908025272,0.2303229614810194
zoox_cells_cm2,0.38807059872251276,0.4667649154644271,0.525242908025272,0.2303229614810194
afdw_mg_cm2,0.4734791694272922,0.23192074234953733,0.525242908025272,0.2303229614810194
