metric,treatment,n,mean,sd,median,q25,q75,n_nonzero,nonzero_rate
full_richness,1,18,20.444444444444443,6.418926263720824,19,16,23.75,18,1
full_richness,3,18,21.833333333333332,7.006299686290734,20,19,22.75,18,1
full_richness,6,18,25.166666666666668,4.259936481161357,25,21.75,28.75,18,1
full_total_abundance,1,18,107.55555555555556,39.15162414514389,106.5,78.75,128.75,18,1
full_total_abundance,3,18,102.5,38.84698489322071,103,74.25,129.25,18,1
full_total_abundance,6,18,98.05555555555556,38.31060707400869,90,70.25,114.75,18,1
trap_evenness,1,18,0.28207876301475787,0.3761720916654499,0,0,0.6146926743014189,7,0.3888888888888889
trap_evenness,3,18,0.2882035394449638,0.38746143502547375,0,0,0.6354350108818474,7,0.3888888888888889
trap_evenness,6,18,0.3419503312054481,0.3851682019778577,0.1547717145751626,0,0.7032757950296026,9,0.5
trap_non_serenei,1,18,0.7222222222222222,1.127493605332358,0,0,1,7,0.3888888888888889
trap_non_serenei,3,18,0.7222222222222221,1.0178151661369073,0,0,1.75,7,0.3888888888888889
trap_non_serenei,6,18,1,1.3719886811400708,0.5,0,1.75,9,0.5
trap_non_serenei_prop_full,1,18,0.005794548461500044,0.007836097329993229,0,0,0.012734271716307644,7,0.3888888888888889
trap_non_serenei_prop_full,3,18,0.006871399239183654,0.00942412044801999,0,0,0.014572093515286154,7,0.3888888888888889
trap_non_serenei_prop_full,6,18,0.010629861064866485,0.014615072353299135,0.002512562814070352,0,0.020585275867851752,9,0.5
trap_prop_full,1,18,0.05434211456261288,0.022720623026166037,0.05220445736434109,0.03772196985339665,0.058116883116883115,18,1
trap_prop_full,3,18,0.07169462846528009,0.03450963375267345,0.06468131649597295,0.04990243549902436,0.08378844495544696,18,1
trap_prop_full,6,18,0.07702690978616357,0.03120319109945178,0.06147644242882338,0.05756302521008404,0.0936065833201456,18,1
trap_rare_richness,1,18,0.5555555555555556,0.7838233761296738,0,0,1,7,0.3888888888888889
trap_rare_richness,3,18,0.4444444444444444,0.6156987634551992,0,0,1,7,0.3888888888888889
trap_rare_richness,6,18,0.7222222222222222,0.8947924869885986,0.5,0,1,9,0.5
trap_richness,1,18,1.5555555555555556,0.7838233761296738,1,1,2,18,1
trap_richness,3,18,1.4444444444444444,0.6156987634551992,1,1,2,18,1
trap_richness,6,18,1.7222222222222223,0.8947924869885986,1.5,1,2,18,1
trap_serenei,1,18,4.666666666666667,1.455213750217998,5,4,5,18,1
trap_serenei,3,18,6.166666666666667,3.3998269852173015,5,4.25,6.75,18,1
trap_serenei,6,18,6.611111111111111,3.8826747737471927,5,3.25,8.75,18,1
trap_serenei_prop_full,1,18,0.048547566101112834,0.021020608906097898,0.04367561794324077,0.03213753855972769,0.05356137387387388,18,1
trap_serenei_prop_full,3,18,0.06482322922609644,0.033655769019266216,0.056258901724956484,0.044291131240783654,0.06936141304347826,18,1
trap_serenei_prop_full,6,18,0.06639704872129709,0.02675446616596424,0.05798319327731093,0.05286654135338346,0.06915677068949645,18,1
trap_serenei_prop_trapezia,1,18,0.9005731922398589,0.14490742782735955,1,0.7976190476190477,1,18,1
trap_serenei_prop_trapezia,3,18,0.9067460317460317,0.13436041488636216,1,0.8375,1,18,1
trap_serenei_prop_trapezia,6,18,0.8737154457742693,0.16430009533515005,0.9722222222222222,0.7232142857142857,1,18,1
trap_shannon,1,18,0.24627084795817497,0.3439606858340882,0,0,0.5242804380362085,7,0.3888888888888889
trap_shannon,3,18,0.21039231042402448,0.2775282908945281,0,0,0.4879421198702171,7,0.3888888888888889
trap_shannon,6,18,0.29742501533225757,0.3551036364355388,0.10727957758820254,0,0.589285977593645,9,0.5
trap_total,1,18,5.388888888888889,2.0902825277343813,5,4,6.75,18,1
trap_total,3,18,6.888888888888889,3.894020890135344,6,5,7,18,1
trap_total,6,18,7.611111111111111,4.313302118261448,7,4.25,9,18,1
