species,PC1_loading,PC2_loading,PC1_variance_explained,PC2_variance_explained
Trapezia bella,-0.6075929097502825,0.18537017059038619,0.27274640661235117,0.17193712027346678
Trapezia punctimanus,-0.5945246406148639,0.22191502033003146,0.27274640661235117,0.17193712027346678
Trapezia serenei,-0.38163419461797676,0.04348617032396941,0.27274640661235117,0.17193712027346678
Trapezia tigrina,-0.3059468833585038,-0.6191184808184491,0.27274640661235117,0.17193712027346678
Trapezia bidentata,0.17333246749459424,0.20664935664071538,0.27274640661235117,0.17193712027346678
Trapezia guttata,-0.06632533557407834,-0.6503502331639722,0.27274640661235117,0.17193712027346678
Trapezia areolata,0.05243790100661294,-0.21675160661264165,0.27274640661235117,0.17193712027346678
Trapezia speciosa,0.030499604844980373,0.13620661496860748,0.27274640661235117,0.17193712027346678
