term,estimate,std.error,statistic,p.value,conf.low,conf.high,exp_est,exp_low,exp_high
(Intercept),3.0177111802727654,0.0583363858515292,51.729484715647,0,2.9020355314259514,3.130779732102061,20.44444444444443,18.211177090311764,22.891822073885223
treatment3,0.6286086594223739,0.09903629552233938,6.347255378515043,2.1919011201249822e-10,0.4339230161294804,0.8222774858174215,1.8749999999999996,1.5433000543316178,2.2756767616587816
treatment6,1.036968125556904,0.11531667873405821,8.992351643671132,2.419960342759831e-19,0.8103734503629679,1.2626359063153916,2.8206521739130466,2.248747625501968,3.5347264262143234
