treatment,response,std.error,df,null,statistic,p.value
1,107.55555555555564,8.756569905448218,Inf,1,57.45922228196298,0
3,307.4999999999999,42.24889662027911,Inf,1,41.69354066593096,0
6,588.3333333333342,113.53037052914374,Inf,1,33.04820050638584,1.6510094520515074e-239
