term,estimate,std.error,statistic,p.value,conf.low,conf.high
(Intercept),-7.533147850450825e-16,0.3424337965636521,-2.19988445242453e-15,0.9999999999999982,-0.7121300642364334,0.7121300642364319
comm_PC1,-0.10051704143748631,0.15626458603819815,-0.6432490174895762,0.5270249342485748,-0.4254870380031629,0.2244529551281903
