result_key,result_label,analysis_scope,metric,reference_estimate,reference_p,reference_significant,reference_direction,whole_estimate,whole_p,whole_significant,whole_direction,obligate_damselfish_estimate,obligate_damselfish_p,obligate_damselfish_significant,obligate_damselfish_direction,estimate_min,estimate_max,p_min,p_max,prop_ranked_sig,ranked_sig_values,ranked_directions,sensitive,sensitivity_class,sensitivity_interpretation,reference_details,whole_details,obligate_damselfish_details
species_condition_Alpheus.diadema,Alpheus diadema abundance predicts coral condition,condition-subset per-species LMMs,sqrt abundance LMM,-0.9949772626830148,0.042254248847044616,TRUE,negative,-0.9949772626830148,0.042254248847044616,TRUE,negative,-0.9949772626830148,0.042254248847044616,TRUE,negative,-0.9949772626830148,-0.9949772626830148,0.042254248847044616,0.042254248847044616,0.4,TRUE,negative | not included,TRUE,inclusion-sensitive; coefficient stable when species is included,Per-species rows are sensitive to inclusion because absent taxa cannot be tested; coefficients themselves do not depend on other species in the matrix.,BH p=0.401,BH p=0.507,BH p=0.366
species_condition_Calcinus.latens,Calcinus latens abundance predicts coral condition,condition-subset per-species LMMs,sqrt abundance LMM,0.453427200510809,0.07846820668005616,FALSE,positive,0.453427200510809,0.07846820668005616,FALSE,positive,NA,NA,NA,not included,0.453427200510809,0.453427200510809,0.07846820668005616,0.07846820668005616,0,FALSE,not included | positive,TRUE,inclusion-sensitive; coefficient stable when species is included,Per-species rows are sensitive to inclusion because absent taxa cannot be tested; coefficients themselves do not depend on other species in the matrix.,BH p=0.529,BH p=0.690,species not in this inclusion set
species_condition_Caracanthus.maculatus,Caracanthus maculatus abundance predicts coral condition,condition-subset per-species LMMs,sqrt abundance LMM,1.422151275487304,8.479723820138816e-4,TRUE,positive,1.422151275487304,8.479723820138816e-4,TRUE,positive,1.422151275487304,8.479723820138816e-4,TRUE,positive,1.422151275487304,1.422151275487304,8.479723820138816e-4,8.479723820138816e-4,0.6,TRUE,not included | positive,TRUE,inclusion-sensitive; coefficient stable when species is included,Per-species rows are sensitive to inclusion because absent taxa cannot be tested; coefficients themselves do not depend on other species in the matrix.,BH p=0.032,BH p=0.042,BH p=0.022
species_condition_Dascyllus.aruanus,Dascyllus aruanus abundance predicts coral condition,condition-subset per-species LMMs,sqrt abundance LMM,0.194296000323678,0.3624344603920221,FALSE,positive,0.194296000323678,0.3624344603920221,FALSE,positive,0.194296000323678,0.3624344603920221,FALSE,positive,0.194296000323678,0.194296000323678,0.3624344603920221,0.3624344603920221,0,FALSE,not included | positive,TRUE,inclusion-sensitive; coefficient stable when species is included,Per-species rows are sensitive to inclusion because absent taxa cannot be tested; coefficients themselves do not depend on other species in the matrix.,BH p=0.766,BH p=0.941,BH p=0.674
species_condition_Dascyllus.flavicaudus,Dascyllus flavicaudus abundance predicts coral condition,condition-subset per-species LMMs,sqrt abundance LMM,0.3205959637563025,0.12536996046120258,FALSE,positive,0.3205959637563025,0.12536996046120258,FALSE,positive,0.3205959637563025,0.12536996046120258,FALSE,positive,0.3205959637563025,0.3205959637563025,0.12536996046120258,0.12536996046120258,0,FALSE,not included | positive,TRUE,inclusion-sensitive; coefficient stable when species is included,Per-species rows are sensitive to inclusion because absent taxa cannot be tested; coefficients themselves do not depend on other species in the matrix.,BH p=0.529,BH p=0.708,BH p=0.466
species_condition_Luniella.pugil,Luniella pugil abundance predicts coral condition,condition-subset per-species LMMs,sqrt abundance LMM,-0.9168362992040319,0.013487619502702334,TRUE,negative,-0.9168362992040319,0.013487619502702334,TRUE,negative,NA,NA,NA,not included,-0.9168362992040319,-0.9168362992040319,0.013487619502702334,0.013487619502702334,0.7,TRUE,negative | not included,TRUE,inclusion-sensitive; coefficient stable when species is included,Per-species rows are sensitive to inclusion because absent taxa cannot be tested; coefficients themselves do not depend on other species in the matrix.,BH p=0.256,BH p=0.216,species not in this inclusion set
species_condition_Mitrella.moleculina,Mitrella moleculina abundance predicts coral condition,condition-subset per-species LMMs,sqrt abundance LMM,-0.34132576711190454,0.4291240681370463,FALSE,negative,-0.34132576711190454,0.4291240681370463,FALSE,negative,NA,NA,NA,not included,-0.34132576711190454,-0.34132576711190454,0.4291240681370463,0.4291240681370463,0,FALSE,negative | not included,TRUE,inclusion-sensitive; coefficient stable when species is included,Per-species rows are sensitive to inclusion because absent taxa cannot be tested; coefficients themselves do not depend on other species in the matrix.,BH p=0.858,BH p=0.967,species not in this inclusion set
species_condition_Morula.zebrina,Morula zebrina abundance predicts coral condition,condition-subset per-species LMMs,sqrt abundance LMM,0.13307793325593925,0.7461137511684801,FALSE,positive,0.13307793325593925,0.7461137511684801,FALSE,positive,NA,NA,NA,not included,0.13307793325593925,0.13307793325593925,0.7461137511684801,0.7461137511684801,0,FALSE,not included | positive,TRUE,inclusion-sensitive; coefficient stable when species is included,Per-species rows are sensitive to inclusion because absent taxa cannot be tested; coefficients themselves do not depend on other species in the matrix.,BH p=0.898,BH p=0.967,species not in this inclusion set
species_condition_Xanthias.lamarckii,Xanthias lamarckii abundance predicts coral condition,condition-subset per-species LMMs,sqrt abundance LMM,-0.36809062702522255,0.48262724843948035,FALSE,negative,-0.36809062702522255,0.48262724843948035,FALSE,negative,NA,NA,NA,not included,-0.36809062702522255,-0.36809062702522255,0.48262724843948035,0.48262724843948035,0,FALSE,negative | not included,TRUE,inclusion-sensitive; coefficient stable when species is included,Per-species rows are sensitive to inclusion because absent taxa cannot be tested; coefficients themselves do not depend on other species in the matrix.,BH p=0.873,BH p=0.967,species not in this inclusion set
beta_permanova_jaccard,Treatment effect on community composition: jaccard,condition-subset reef-level beta diversity,PERMANOVA/adonis2,0.196844296762867,0.001,TRUE,NA,0.1993174873963079,0.001,TRUE,NA,0.24784697014475807,0.003,TRUE,NA,0.05443373830470611,0.20930434219830774,0.001,0.48,0.6,FALSE/TRUE,,TRUE,significance-sensitive across top-N,"Community-composition treatment effects are generally robust, but metric and functional subset can change strength.",NA,NA,NA
