feature,loading,sign
carb_mg_cm2,-0.560922964328154,-
protein_mg_cm2,-0.5515977287733581,-
afdw_mg_cm2,-0.475453273155077,-
zoox_cells_cm2,-0.3828967948998597,-
growth_vol_b,-0.09186731302769266,-
