term,estimate,std.error,statistic,p.value,conf.low,conf.high
(Intercept),-5.761938256695476e-16,0.22366176311105398,-2.576183866454867e-15,0.999999999999998,-0.45203728517626324,0.4520372851762621
PCoA1,5.098338408392458,1.712518353343617,2.9771000108922485,0.0049217436217753215,1.6372097090018505,8.559467107783064
PCoA2,-2.3896812367305538,1.954432722350495,-1.2226981309730671,0.22859921941885364,-6.339737113882432,1.5603746404213248
PCoA3,-2.4944848383303473,2.5516542261534414,-0.9775951666032449,0.33415030249359556,-7.6515703993800654,2.662600722719371
