Matrix,Estimate,Std_Error,DF,t_stat,p_value,CI_lower,CI_upper
SQRT_CS,0.30056052521153087,0.11637333635398961,33.412951868056574,2.5827267192655925,0.014363846699775817,0.06390830472768441,0.5372127456953774
HELLINGER,0.31116363236226885,0.1077007715022612,25.159258516529526,2.889149520676701,0.007838381604785939,0.08942091464838284,0.5329063500761548
SQRT,0.17941878149257698,0.12308154211657453,37.08419604765048,1.4577228917285063,0.15333407220470396,-0.06994900063578993,0.4287865636209439
