iter,label,metric,df,F,R2,p,n_units,n_trt_lvls
20,Bootstrap,Gower (prop→z),2,1.2878610219384625,0.14654999876800293,0.175,18,3
21,Bootstrap,Jaccard (incidence),2,2.281254717416136,0.25978687452166177,0.023,16,3
21,Bootstrap,Gower (sqrt→z),2,8.859192245248268,0.5768006613752146,0.001,16,3
21,Bootstrap,Gower (prop→z),2,2.370887162310162,0.267266071468407,0.004,16,3
22,Bootstrap,Jaccard (incidence),2,1.5393462811562322,0.18026511989016147,0.136,17,3
22,Bootstrap,Gower (sqrt→z),2,6.984943765221791,0.49946169841541843,0.001,17,3
22,Bootstrap,Gower (prop→z),2,1.5085252582143622,0.17729573720874736,0.091,17,3
23,Bootstrap,Jaccard (incidence),2,1.5477060510716218,0.1710606028020008,0.113,18,3
23,Bootstrap,Gower (sqrt→z),2,7.560679869500913,0.5020145129578046,0.001,18,3
23,Bootstrap,Gower (prop→z),2,1.3048287572065003,0.14819467739659734,0.194,18,3
24,Bootstrap,Jaccard (incidence),2,1.6623612618476833,0.18143371717613888,0.094,18,3
24,Bootstrap,Gower (sqrt→z),2,7.597904452667046,0.5032423192560922,0.001,18,3
24,Bootstrap,Gower (prop→z),2,1.2694507089500893,0.14475829229013049,0.224,18,3
25,Bootstrap,Jaccard (incidence),2,2.5182869885009715,0.23941987808985132,0.002,19,3
25,Bootstrap,Gower (sqrt→z),2,9.687147435354259,0.5476941644072542,0.001,19,3
25,Bootstrap,Gower (prop→z),2,2.4779547433662206,0.2364922166642357,0.002,19,3
26,Bootstrap,Jaccard (incidence),2,1.7880392188584595,0.18267593527960865,0.044,19,3
26,Bootstrap,Gower (sqrt→z),2,8.26071507398402,0.5080167161406434,0.001,19,3
26,Bootstrap,Gower (prop→z),2,1.343509812381205,0.14379069957211402,0.161,19,3
27,Bootstrap,Jaccard (incidence),2,1.8322802804241864,0.18635354446437097,0.063,19,3
27,Bootstrap,Gower (sqrt→z),2,7.648622366808367,0.48877288923730045,0.001,19,3
27,Bootstrap,Gower (prop→z),2,1.3583043261931487,0.14514427815639241,0.177,19,3
28,Bootstrap,Jaccard (incidence),2,1.923380150870352,0.22833828183233754,0.032,16,3
28,Bootstrap,Gower (sqrt→z),2,6.7065562311379585,0.5078202154870225,0.001,16,3
28,Bootstrap,Gower (prop→z),2,1.488309364111738,0.18631093217272152,0.106,16,3
29,Bootstrap,Jaccard (incidence),2,2.9780437199492225,0.3142044717182605,0.006,16,3
29,Bootstrap,Gower (sqrt→z),2,7.947210812542856,0.5500861665037242,0.001,16,3
29,Bootstrap,Gower (prop→z),2,2.393824954475127,0.26915584315279556,0.004,16,3
30,Bootstrap,Jaccard (incidence),2,1.3971530919639497,0.15703372500422416,0.175,18,3
30,Bootstrap,Gower (sqrt→z),2,7.786328597459265,0.509365512314934,0.001,18,3
30,Bootstrap,Gower (prop→z),2,1.3670750095860662,0.15417429176003827,0.161,18,3
31,Bootstrap,Jaccard (incidence),2,1.3119618248216811,0.15784021299325768,0.216,17,3
31,Bootstrap,Gower (sqrt→z),2,7.515802727611269,0.5177669377743106,0.001,17,3
31,Bootstrap,Gower (prop→z),2,1.447665465880122,0.1713687020073417,0.117,17,3
32,Bootstrap,Jaccard (incidence),2,1.597349887925703,0.18579561245600282,0.11,17,3
32,Bootstrap,Gower (sqrt→z),2,7.5020898271271665,0.5173109473569794,0.001,17,3
32,Bootstrap,Gower (prop→z),2,1.2268095436064292,0.14912336758298478,0.24,17,3
33,Bootstrap,Jaccard (incidence),2,1.7048117530626392,0.19584705579219797,0.06,17,3
33,Bootstrap,Gower (sqrt→z),2,8.051261067892483,0.5349226906353731,0.001,17,3
33,Bootstrap,Gower (prop→z),2,1.9366920908122625,0.21671241116199572,0.011,17,3
34,Bootstrap,Jaccard (incidence),2,2.6947510747265278,0.26432730480364514,0.005,18,3
34,Bootstrap,Gower (sqrt→z),2,8.888377331540813,0.5423585966887874,0.001,18,3
34,Bootstrap,Gower (prop→z),2,2.4128757363376696,0.2434082500896063,0.008,18,3
35,Bootstrap,Jaccard (incidence),2,1.9037950503070173,0.20244965358372652,0.047,18,3
35,Bootstrap,Gower (sqrt→z),2,7.777546970547692,0.5090834926275386,0.001,18,3
35,Bootstrap,Gower (prop→z),2,1.7874318264383582,0.19245706023382156,0.041,18,3
36,Bootstrap,Jaccard (incidence),2,1.6157646652463982,0.16803288365470773,0.094,19,3
36,Bootstrap,Gower (sqrt→z),2,8.294306926690654,0.5090309740701083,0.001,19,3
36,Bootstrap,Gower (prop→z),2,1.4585924552452978,0.15420819346502554,0.135,19,3
37,Bootstrap,Jaccard (incidence),2,1.4222149818982839,0.1594015594539837,0.182,18,3
37,Bootstrap,Gower (sqrt→z),2,7.524281865552647,0.5008080873937915,0.001,18,3
37,Bootstrap,Gower (prop→z),2,1.2698685318139102,0.14479903857250387,0.187,18,3
38,Bootstrap,Jaccard (incidence),2,2.146162282879243,0.24822137413832507,0.031,16,3
38,Bootstrap,Gower (sqrt→z),2,7.370769182291934,0.5313886407757257,0.001,16,3
38,Bootstrap,Gower (prop→z),2,2.282413565029877,0.2598845463299601,0.006,16,3
39,Bootstrap,Jaccard (incidence),2,1.5160952229195053,0.159319047088557,0.097,19,3
39,Bootstrap,Gower (sqrt→z),2,7.752441628852284,0.49214222223511417,0.001,19,3
39,Bootstrap,Gower (prop→z),2,1.4212630032855158,0.15085695015518336,0.129,19,3
40,Bootstrap,Jaccard (incidence),2,1.875118175917635,0.2000100842178556,0.041,18,3
40,Bootstrap,Gower (sqrt→z),2,8.187570298205735,0.5219144929755112,0.001,18,3
40,Bootstrap,Gower (prop→z),2,1.3032523164299001,0.14804214051636147,0.204,18,3
41,Bootstrap,Jaccard (incidence),2,1.904098629400604,0.20247539976321652,0.031,18,3
41,Bootstrap,Gower (sqrt→z),2,8.520163973596555,0.5318399978701193,0.001,18,3
41,Bootstrap,Gower (prop→z),2,2.0598019886352956,0.21546492187641447,0.006,18,3
42,Bootstrap,Jaccard (incidence),2,2.3078895143824343,0.24794981835746024,0.011,17,3
42,Bootstrap,Gower (sqrt→z),2,7.794003281011572,0.5268353083992718,0.001,17,3
42,Bootstrap,Gower (prop→z),2,2.141872637353795,0.23429254839999403,0.011,17,3
43,Bootstrap,Jaccard (incidence),2,1.8179339548141003,0.19510054091710602,0.069,18,3
43,Bootstrap,Gower (sqrt→z),2,6.99282720745875,0.48250262749699263,0.001,18,3
43,Bootstrap,Gower (prop→z),2,1.7255532577668493,0.18704062613417066,0.046,18,3
44,Bootstrap,Jaccard (incidence),2,1.698845184510251,0.17515953210836152,0.068,19,3
44,Bootstrap,Gower (sqrt→z),2,7.721467379255616,0.49114164683151934,0.001,19,3
44,Bootstrap,Gower (prop→z),2,1.4626097091454238,0.1545672657017483,0.115,19,3
45,Bootstrap,Jaccard (incidence),2,0.9645015459790605,0.12110005132285982,0.488,17,3
45,Bootstrap,Gower (sqrt→z),2,4.6337447494395985,0.39830208150843316,0.001,17,3
45,Bootstrap,Gower (prop→z),2,0.9564190628528888,0.12020722580064186,0.52,17,3
46,Bootstrap,Jaccard (incidence),2,1.988947142039041,0.19911479295635132,0.019,19,3
46,Bootstrap,Gower (sqrt→z),2,8.581338335397326,0.5175298978779145,0.001,19,3
46,Bootstrap,Gower (prop→z),2,2.134924220522134,0.2106502401072858,0.006,19,3
47,Bootstrap,Jaccard (incidence),2,1.6530186953977783,0.20274928307608023,0.128,16,3
47,Bootstrap,Gower (sqrt→z),2,6.534703575523985,0.5013311992606088,0.001,16,3
47,Bootstrap,Gower (prop→z),2,1.1770862362594117,0.15332460780497056,0.254,16,3
