treatment,n_reefs,mean_richness,se_richness,mean_shannon,se_shannon,mean_evenness,se_evenness
1,18,3.2222222222222223,0.3084385676861939,0.8848486376020057,0.10724420452973825,0.5825874293283103,0.05954648176532301
3,6,4.5,0.4281744192888377,1.216031175727276,0.06552922568221801,0.7203004318606838,0.025058639881247603
6,3,5,1.1547005383792517,1.3272607450002276,0.15390135491174334,0.757157390049695,0.01912485263323689
