term,Chisq,Df,Pr(>Chisq)
(Intercept),0.050896538704610125,1,0.8215105088603175
comm_PC1,0.9164238381570753,1,0.33841571088487465
comm_PC2,1.1656870915716209,1,0.2802892025081129
comm_PC3,0.8619770099306476,1,0.35318603023126605
comm_PC4,2.197052523774349,1,0.13827491197201808
comm_PC5,0.08392787803810567,1,0.7720433952407054
comm_PC6,0.29429390387007776,1,0.5874819442647088
