term,estimate,conf.low,conf.high,statistic,p.value
(Intercept),-0.07061364172509087,-0.7322512635560966,0.5910239801059148,-0.22804452202887313,0.8227776879103961
commRaw_PC1,-0.2687988703482468,-0.5809534763188469,0.04335573562235323,-1.7395792940165271,0.08951229890174822
