species,s.1,s.2,s.3,stat,p.value
Paragobiodon modestus,0,1,1,0.9413965927865788,0.008
Dascyllus flavicaudus,0,1,1,0.9361647795030651,0.01
Paragobiodon lacunicolus,0,0,1,0.7254762501100116,0.028
NA,NA,NA,NA,NA,NA
NA.1,NA,NA,NA,NA,NA
