treatment,response,std.error,df,null,statistic,p.value
1,97.47783546285967,10.919424363987124,Inf,1,40.88236885470812,0
3,85.1569023741757,12.475199087244356,Inf,1,30.338551215382935,3.5574705426497045e-202
6,83.78293677169859,16.045554998597485,Inf,1,23.122295315151977,2.7630088080620137e-118
