treatment,estimate,std.error,df,statistic,p.value
1,10.32453717831309,0.5308632484363026,24,19.448581548496314,3.374686447570679e-16
3,12.590000786510675,0.9194821181627356,24,13.69249117282172,7.772321362126314e-13
6,13.92637578306849,1.3003440818652823,24,10.709762113956607,1.2670406608819154e-10
