treatment,response,std.error,df,null,statistic,p.value
1,20.44444444444443,1.1926549996312628,Inf,1,51.729484715647,0
3,38.33333333333329,3.0678772618979355,Inf,1,45.56101236217916,0
6,57.66666666666667,5.736254521559268,Inf,1,40.76176171937929,0
