iter,label,metric,df,F,R2,p,n_units,n_trt_lvls
21,Rarefied,Jaccard (incidence),2,2.873719746360579,0.4892504018669204,0.01,9,3
21,Rarefied,Gower (sqrt→z),2,5.734168671828476,0.6565214031558245,0.003,9,3
21,Rarefied,Gower (prop→z),2,1.8286337001900697,0.3787062373602887,0.047,9,3
22,Rarefied,Jaccard (incidence),2,3.4804580421519287,0.537069759500548,0.023,9,3
22,Rarefied,Gower (sqrt→z),2,4.858030943826292,0.6182249699134912,0.004,9,3
22,Rarefied,Gower (prop→z),2,2.351807684843471,0.43944174068584,0.008,9,3
23,Rarefied,Jaccard (incidence),2,1.7590827824737179,0.3696264307382707,0.132,9,3
23,Rarefied,Gower (sqrt→z),2,4.040654394676699,0.5739032436717474,0.018,9,3
23,Rarefied,Gower (prop→z),2,1.8903828406864316,0.3865510947239237,0.079,9,3
24,Rarefied,Jaccard (incidence),2,3.0653747030863125,0.5053891726634009,0.008,9,3
24,Rarefied,Gower (sqrt→z),2,5.964344531940428,0.6653408412281742,0.005,9,3
24,Rarefied,Gower (prop→z),2,3.1575015281983156,0.51278940228248715,0.009,9,3
25,Rarefied,Jaccard (incidence),2,1.9240599764983641,0.39074665736842157,0.029,9,3
25,Rarefied,Gower (sqrt→z),2,5.4297589034215505,0.6441179357119773,0.006,9,3
25,Rarefied,Gower (prop→z),2,2.0035705616582984,0.40042816164348627,0.027,9,3
26,Rarefied,Jaccard (incidence),2,0.9133331988592533,0.2333900929073692,0.604,9,3
26,Rarefied,Gower (sqrt→z),2,3.359710659760442,0.5282804265008805,0.009,9,3
26,Rarefied,Gower (prop→z),2,1.2573204742422184,0.2953314137024216,0.245,9,3
27,Rarefied,Jaccard (incidence),2,1.553538948409044,0.3411717712334125,0.136,9,3
27,Rarefied,Gower (sqrt→z),2,4.972435968881185,0.6237034688381441,0.011,9,3
27,Rarefied,Gower (prop→z),2,1.7195082785478657,0.36434055775762664,0.076,9,3
28,Rarefied,Jaccard (incidence),2,2.211697406444842,0.4243717994275403,0.04,9,3
28,Rarefied,Gower (sqrt→z),2,4.739645747426076,0.6123853600149994,0.003,9,3
28,Rarefied,Gower (prop→z),2,1.5429740074024016,0.3396396292138702,0.111,9,3
29,Rarefied,Jaccard (incidence),2,1.4962279374323868,0.3327740404297256,0.181,9,3
29,Rarefied,Gower (sqrt→z),2,5.242968890201545,0.6360534608390779,0.006,9,3
29,Rarefied,Gower (prop→z),2,1.6324182579142092,0.3523900837592375,0.104,9,3
30,Rarefied,Jaccard (incidence),2,3.502941691563144,0.5386703214804814,0.003,9,3
