feature,loading,sign
carb_mg_cm2,-0.5637313764170158,-
protein_mg_cm2,-0.5340364619927545,-
afdw_mg_cm2,-0.47339560286658194,-
zoox_cells_cm2,-0.3880928242486182,-
growth_vol_b,-0.14930691698161197,-
