metric,test,p
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.525
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.687
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.569
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.64
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.696
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.591
jaccard,adonis_p,0.002
jaccard,permdisp_p,0.386
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.265
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.49
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.365
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.31
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.421
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.498
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.515
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.634
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.532
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.572
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.717
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.543
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.394
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.18
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.618
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.396
jaccard,adonis_p,0.002
jaccard,permdisp_p,0.612
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.717
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.454
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.366
jaccard,adonis_p,0.002
jaccard,permdisp_p,0.542
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.51
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.52
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.504
jaccard,adonis_p,0.002
jaccard,permdisp_p,0.685
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.514
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.566
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.365
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.634
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.566
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.422
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.563
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.393
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.391
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.699
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.324
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.338
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.571
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.444
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.409
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.696
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.665
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.709
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.613
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.531
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.504
jaccard,adonis_p,0.002
jaccard,permdisp_p,0.574
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.396
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.407
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.182
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.7
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.576
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.569
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.679
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.695
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.429
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.373
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.515
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.643
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.621
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.613
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.644
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.286
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.379
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.282
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.687
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.678
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.589
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.523
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.572
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.417
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.516
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.68
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.619
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.47
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.408
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.686
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.522
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.527
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.509
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.625
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.298
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.538
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.501
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.489
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.498
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.549
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.651
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.669
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.368
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.657
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.568
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.362
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.164
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.453
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.591
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.324
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.397
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.402
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.565
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.601
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.647
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.464
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.694
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.557
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.736
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.539
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.686
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.615
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.491
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.41
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.456
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.459
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.514
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.403
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.564
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.543
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.608
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.549
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.629
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.434
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.668
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.721
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.488
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.445
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.571
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.49
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.305
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.385
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.358
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.358
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.732
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.284
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.363
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.412
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.513
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.535
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.764
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.708
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.399
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.501
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.31
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.645
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.593
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.29
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.545
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.459
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.573
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.669
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.536
jaccard,adonis_p,0.002
jaccard,permdisp_p,0.691
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.671
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.358
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.469
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.407
jaccard,adonis_p,0.002
jaccard,permdisp_p,0.508
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.617
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.673
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.546
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.334
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.359
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.525
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.555
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.516
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.701
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.406
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.586
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.358
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.365
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.552
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.603
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.529
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.395
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.513
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.627
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.552
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.47
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.364
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.29
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.523
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.512
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.384
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.54
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.561
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.679
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.292
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.604
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.733
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.483
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.557
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.655
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.41
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.397
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.494
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.527
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.584
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.509
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.761
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.522
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.624
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.554
jaccard,adonis_p,0.002
jaccard,permdisp_p,0.365
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.562
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.497
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.519
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.424
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.544
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.502
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.521
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.771
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.157
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.476
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.406
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.483
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.305
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.373
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.551
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.292
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.561
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.492
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.678
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.562
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.538
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.515
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.547
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.318
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.555
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.715
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.643
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.236
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.476
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.304
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.664
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.303
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.426
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.469
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.436
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.49
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.191
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.348
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.472
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.656
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.527
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.514
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.18
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.554
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.284
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.693
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.547
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.314
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.443
jaccard,adonis_p,0.002
jaccard,permdisp_p,0.532
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.509
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.669
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.611
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.673
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.51
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.387
jaccard,adonis_p,0.002
jaccard,permdisp_p,0.484
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.485
jaccard,adonis_p,0.002
jaccard,permdisp_p,0.494
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.643
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.638
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.319
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.527
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.601
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.427
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.449
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.478
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.55
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.547
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.554
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.562
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.599
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.448
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.616
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.469
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.62
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.57
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.517
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.568
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.534
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.394
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.281
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.683
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.545
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.379
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.554
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.453
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.243
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.446
jaccard,adonis_p,0.002
jaccard,permdisp_p,0.517
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.594
jaccard,adonis_p,0.002
jaccard,permdisp_p,0.709
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.352
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.657
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.655
jaccard,adonis_p,0.002
jaccard,permdisp_p,0.65
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.517
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.431
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.734
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.614
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.397
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.544
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.659
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.499
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.636
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.53
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.569
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.448
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.505
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.558
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.654
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.587
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.414
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.405
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.518
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.505
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.336
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.372
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.532
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.533
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.727
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.532
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.516
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.686
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.524
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.439
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.556
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.662
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.565
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.509
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.489
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.571
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.406
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.521
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.525
jaccard,adonis_p,0.002
jaccard,permdisp_p,0.525
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.48
jaccard,adonis_p,0.002
jaccard,permdisp_p,0.56
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.561
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.361
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.535
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.674
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.675
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.714
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.499
jaccard,adonis_p,0.002
jaccard,permdisp_p,0.575
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.567
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.477
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.354
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.474
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.621
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.529
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.259
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.725
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.679
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.644
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.432
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.528
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.554
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.545
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.582
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.582
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.437
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.403
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.571
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.721
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.488
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.677
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.545
jaccard,adonis_p,0.002
jaccard,permdisp_p,0.481
jaccard,adonis_p,0.002
jaccard,permdisp_p,0.4
jaccard,adonis_p,0.002
jaccard,permdisp_p,0.596
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.264
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.636
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.471
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.317
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.59
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.646
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.648
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.559
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.654
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.74
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.649
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.478
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.614
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.518
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.492
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.594
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.348
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.421
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.557
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.559
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.459
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.302
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.55
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.272
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.518
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.466
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.277
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.577
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.493
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.401
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.459
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.474
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.549
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.628
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.603
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.526
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.573
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.457
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.654
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.529
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.554
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.539
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.631
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.383
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.31
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.583
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.592
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.37
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.69
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.55
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.572
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.512
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.499
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.729
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.512
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.478
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.685
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.56
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.659
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.559
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.668
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.596
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.334
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.622
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.639
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.632
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.33
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.435
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.597
jaccard,adonis_p,0.001
jaccard,permdisp_p,0.537
