term,estimate,conf.low,conf.high,statistic,p.value
(Intercept),0.11601415930152846,-0.5099603295506696,0.7419886481537266,0.40889656223216436,0.690615370458215
comm_PC1,0.39637300980277845,-0.19081025807286411,0.983556277678421,1.3708310427534802,0.1792299197509742
comm_PC2,0.22252737544575796,-0.3240064579836238,0.7690612088751397,0.8236070720530404,0.41517979855541576
comm_PC3,0.20201275691850532,-0.324583975378712,0.72860948921572255,0.7811424570826608,0.44041045838035486
