variable,PC1_loading
growth_vol_b,-0.14847600035616484
protein_mg_cm2,-0.5340807552510177
carb_mg_cm2,-0.5638539799578706
zoox_cells_cm2,-0.38807059872251265
afdw_mg_cm2,-0.47347916942729196
