term,estimate,std.error,statistic,p.value,conf.low,conf.high,exp_est,exp_low,exp_high
(Intercept),4.678007509940358,0.08141438961677055,57.45922228196298,0,4.521924253180546,4.841271317540919,107.55555555555564,92.01248305090542,126.6302366816192
treatment3,1.050467577306214,0.15970482143593753,6.577557069731852,4.782403255086608e-11,0.7443573212755809,1.3716407793534247,2.8589876033057826,2.1050881048110646,3.9418130378292413
treatment6,1.6992861707589302,0.20944096672081622,8.113437391759513,4.920755348004582e-16,1.306354450503707,2.1305603856697863,5.470041322314051,3.692687270182713,8.419583703730407
