kind,k,metric,mean,q25,q75,IQR
SL,2,bal,0.39367981381560413,0.31756756756756754,0.4857142857142857,0.16814671814671817
SL,2,bray,0.48123425733097464,0.3673349403257099,0.5802469135802469,0.21291197325453703
SL,2,gra,0.08755444351537049,0.02230171347818407,0.14698360567475166,0.12468189219656758
SL,2,sim,0.2559770445111561,0.17647058823529413,0.3125,0.13602941176470587
SL,2,sne,0.05173645095422386,0.03947368421052632,0.06677265500794913,0.027298970797422807
SL,2,sor,0.30771349546537996,0.24324324324324326,0.36363636363636365,0.12039312039312039
SL,3,bal,0.3737098275990425,0.30106546435468573,0.4292821606254442,0.1282166962707585
SL,3,bray,0.4645048815531674,0.44220301356896863,0.5200695611903938,0.0778665476214252
SL,3,gra,0.09079505395412489,0.05440893059797051,0.1275570626437133,0.0731481320457428
SL,3,sim,0.23010644242930797,0.19281045751633988,0.2708333333333333,0.07802287581699344
SL,3,sne,0.04084219299355704,0.028070175438596492,0.06745461299540996,0.039384437556813465
SL,3,sor,0.270948635422865,0.23859649122807017,0.2806372549019608,0.04204076367389062
SL,4,bal,0.3552920815437205,0.32935712660078365,0.38093006837254845,0.0515729417717648
SL,4,bray,0.47794838660606653,0.45539241683424975,0.5076809340010584,0.05228851716680866
SL,4,gra,0.12265630506234604,0.10871061793728479,0.14067881816565836,0.03196820022837357
SL,4,sim,0.21951860910544532,0.166827915376677,0.27497665732959853,0.10814874195292154
SL,4,sne,0.05966705250903704,0.0542734476558006,0.06647996680891419,0.01220651915311359
SL,4,sor,0.27918566161448233,0.22229184071289335,0.33032844847360976,0.10803660776071641
SL,5,bal,0.3535706889738052,0.33266884536168156,0.37506926520280803,0.04240041984112647
SL,5,bray,0.4786461709578278,0.4562605427751713,0.48992541821435903,0.033664875439187725
SL,5,gra,0.1250754819840226,0.09943923591895348,0.15725657285267744,0.057817336933723956
SL,5,sim,0.22149678737296696,0.15232935279374907,0.3007002801120448,0.14837092731829574
SL,5,sne,0.058985155744908646,0.053321222806516924,0.06550111608935139,0.012179893282834461
SL,5,sor,0.2804819431178756,0.21783046888310045,0.3593940038698103,0.14156353498670984
SS,2,bal,0.3483177936315592,0.24193548387096775,0.46519994465199943,0.22326446078103168
SS,2,bray,0.5010224606302558,0.40568101623147496,0.6,0.19431898376852502
SS,2,gra,0.15270466699869661,0.052728321550748095,0.22302813733710652,0.17029981578635844
SS,2,sim,0.25351121494359985,0.1875,0.3125,0.125
SS,2,sne,0.07588993520502416,0.023655913978494623,0.10765550239234449,0.08399958841384987
SS,2,sor,0.329401150148624,0.26747967479674795,0.3793103448275862,0.11183067003083824
SS,3,bal,0.36324554708216006,0.27923507782390755,0.4575628259838786,0.17832774815997104
SS,3,bray,0.5127030549327931,0.4391025460884338,0.5847011732190468,0.145598627130613
SS,3,gra,0.1494575078506331,0.08134773950265073,0.19543525943644247,0.11408751993379174
SS,3,sim,0.250402381006546,0.20146520146520147,0.29853479853479853,0.09706959706959706
SS,3,sne,0.07674931217123242,0.04321876505784551,0.10094440296012305,0.05772563790227754
SS,3,sor,0.3271516931777784,0.2880902346018625,0.36232212573572253,0.07423189113386003
SS,4,bal,0.35334587343477064,0.296311033973528,0.4166624478223267,0.12035141384879872
SS,4,bray,0.5082593170757028,0.4613702997590228,0.5576761861140307,0.09630588635500792
SS,4,gra,0.15491344364093218,0.1031932810390799,0.18622673829377676,0.08303345725469685
SS,4,sim,0.24535061090994165,0.20467728758169934,0.2794077206906154,0.07473043310891608
SS,4,sne,0.07903691484092468,0.05020339387651107,0.1012357266895475,0.05103233281303643
SS,4,sor,0.3243875257508663,0.2921578907301408,0.35322921852442984,0.06107132779428903
SS,5,bal,0.3516362400578163,0.30331198066958165,0.3956339795500845,0.09232199888050285
SS,5,bray,0.5013127088725199,0.4593752911965603,0.5430378689708695,0.08366257777430919
SS,5,gra,0.14967646881470356,0.1069678712669206,0.17319238308492063,0.06622451181800003
SS,5,sim,0.24848943599519055,0.2189520676691729,0.27830357142857143,0.059351503759398516
SS,5,sne,0.07311436880178568,0.050419335316277486,0.09282990607986971,0.042410570763592226
SS,5,sor,0.3216038047969762,0.29696872341449015,0.3454134515026519,0.04844472808816175
