Metric,Slope,R2,p-value
surface_area,415.9861644499798,0.04305723571203707,0.17139410481146555
volume,1350.7615588068288,0.0907136380726942,0.044375872266064695
max_height,0.4827082389027797,0.0033150155115743364,0.7071578166027146
interstitial,240.2095694388507,0.007421067252475958,0.5736607363434345
size_corrected_volume_growth,0.8865394964801278,0.10007955066656314,0.034246565207986156
