metric,n_each,mean_F,q25_F,q75_F,mean_R2,q25_R2,q75_R2,med_p,prop_sig
Gower (prop→z),2,1.6979787976722778,1.1465340526750705,2.0189461299561127,0.509818788041529,0.4332209711295123,0.5737334833854789,0.2,0
Gower (prop→z),3,1.931885778277447,1.3872731179447415,2.404847073902909,0.38179010774963845,0.3162019295621229,0.4449423311873189,0.046,0.5125628140703518
Gower (sqrt→z),2,3.518428758847469,2.924091232589829,4.1538367932174625,0.6911678857623875,0.6609461347627121,0.7346933248150536,0.06666666666666667,0
Gower (sqrt→z),3,4.88577699254542,4.1814914539354735,5.514905915464144,0.6152447293795167,0.582259453933067,0.6476746343566967,0.006,0.9949748743718593
Jaccard (incidence),2,1.8499290421197978,1.0703691546457614,2.416601227283678,0.5181724549292848,0.41642623310238913,0.6170105500556209,0.26666666666666666,0
Jaccard (incidence),3,2.1800311056350474,1.5220594392238838,2.7392780665838177,0.40498370843221326,0.33658450031748777,0.4772850662431032,0.088,0.35678391959798994
