sor,sim,sne,bray,bal,gra,sor_ms,sim_ms,sne_ms,bray_ms,bal_ms,gra_ms,kind,k,iter
0.5151515151515151,0.42857142857142855,0.08658008658008658,0.6512820512820513,0.6458333333333334,0.005448717948717949,0.5151515151515151,0.42857142857142855,0.08658008658008658,0.6512820512820513,0.6458333333333334,0.005448717948717949,SL,2,1
0.1875,0.1875,0,0.24087591240875914,0.06306306306306306,0.17781284934569605,0.1875,0.1875,0,0.24087591240875914,0.06306306306306306,0.17781284934569605,SS,2,1
0.35714285714285715,0.35714285714285715,0,0.5306122448979592,0.34285714285714286,0.1877551020408163,0.35714285714285715,0.35714285714285715,0,0.5306122448979592,0.34285714285714286,0.1877551020408163,SL,2,2
0.38461538461538464,0.14285714285714285,0.24175824175824173,0.6643356643356644,0.6571428571428571,0.007192807192807193,0.38461538461538464,0.14285714285714285,0.24175824175824173,0.6643356643356644,0.6571428571428571,0.007192807192807193,SS,2,2
0.24324324324324326,0.17647058823529413,0.06677265500794913,0.33986928104575165,0.31756756756756754,0.02230171347818407,0.24324324324324326,0.17647058823529413,0.06677265500794913,0.33986928104575165,0.31756756756756754,0.02230171347818407,SL,2,3
0.4838709677419355,0.42857142857142855,0.05529953917050691,0.5463917525773195,0.37142857142857144,0.17496318114874818,0.4838709677419355,0.42857142857142855,0.05529953917050691,0.5463917525773195,0.37142857142857144,0.17496318114874818,SS,2,3
0.5483870967741935,0.5,0.04838709677419355,0.631578947368421,0.4,0.23157894736842102,0.5483870967741935,0.5,0.04838709677419355,0.631578947368421,0.4,0.23157894736842102,SL,2,4
0.38461538461538464,0.2,0.18461538461538463,0.7014925373134329,0.13043478260869565,0.5710577547047372,0.38461538461538464,0.2,0.18461538461538463,0.7014925373134329,0.13043478260869565,0.5710577547047372,SS,2,4
0.2222222222222222,0.17647058823529413,0.0457516339869281,0.4117647058823529,0.2982456140350877,0.11351909184726522,0.2222222222222222,0.17647058823529413,0.0457516339869281,0.4117647058823529,0.2982456140350877,0.11351909184726522,SL,2,5
0.2903225806451613,0.21428571428571427,0.076036866359447,0.6624472573839663,0.4594594594594595,0.2029877979245068,0.2903225806451613,0.21428571428571427,0.076036866359447,0.6624472573839663,0.4594594594594595,0.2029877979245068,SS,2,5
0.24324324324324326,0.17647058823529413,0.06677265500794913,0.33986928104575165,0.31756756756756754,0.02230171347818407,0.24324324324324326,0.17647058823529413,0.06677265500794913,0.33986928104575165,0.31756756756756754,0.02230171347818407,SL,2,6
0.13513513513513514,0.1111111111111111,0.024024024024024024,0.2033898305084746,0.13761467889908258,0.06577515160939201,0.13513513513513514,0.1111111111111111,0.024024024024024024,0.2033898305084746,0.13761467889908258,0.06577515160939201,SS,2,6
0.25,0.25,0,0.5802469135802469,0.4925373134328358,0.0877096001474111,0.25,0.25,0,0.5802469135802469,0.4925373134328358,0.0877096001474111,SL,2,7
0.4,0.3076923076923077,0.0923076923076923,0.4358974358974359,0.2903225806451613,0.14557485525227462,0.4,0.3076923076923077,0.0923076923076923,0.4358974358974359,0.2903225806451613,0.14557485525227462,SS,2,7
0.36363636363636365,0.3,0.06363636363636363,0.5522388059701493,0.34782608695652173,0.20441271901362754,0.36363636363636365,0.3,0.06363636363636363,0.5522388059701493,0.34782608695652173,0.20441271901362754,SL,2,8
0.35294117647058826,0.26666666666666666,0.08627450980392157,0.42990654205607476,0.07575757575757576,0.35414896629849896,0.35294117647058826,0.26666666666666666,0.08627450980392157,0.42990654205607476,0.07575757575757576,0.35414896629849896,SS,2,8
0.25,0.21052631578947367,0.03947368421052632,0.4380165289256198,0.3761467889908257,0.06186973993479415,0.25,0.21052631578947367,0.03947368421052632,0.4380165289256198,0.3761467889908257,0.06186973993479415,SL,2,9
0.25,0.2,0.05,0.6018518518518519,0.3484848484848485,0.25336700336700335,0.25,0.2,0.05,0.6018518518518519,0.3484848484848485,0.25336700336700335,SS,2,9
0.3125,0.3125,0,0.5,0.4857142857142857,0.014285714285714284,0.3125,0.3125,0,0.5,0.4857142857142857,0.014285714285714284,SL,2,10
0.3548387096774194,0.3333333333333333,0.02150537634408602,0.42857142857142855,0.3939393939393939,0.03463203463203463,0.3548387096774194,0.3333333333333333,0.02150537634408602,0.42857142857142855,0.3939393939393939,0.03463203463203463,SS,2,10
0.25,0.25,0,0.5802469135802469,0.4925373134328358,0.0877096001474111,0.25,0.25,0,0.5802469135802469,0.4925373134328358,0.0877096001474111,SL,2,11
0.2413793103448276,0.15384615384615385,0.08753315649867374,0.15695067264573992,0.15315315315315314,0.003797519492586757,0.2413793103448276,0.15384615384615385,0.08753315649867374,0.15695067264573992,0.15315315315315314,0.003797519492586757,SS,2,11
0.5151515151515151,0.42857142857142855,0.08658008658008658,0.6512820512820513,0.6458333333333334,0.005448717948717949,0.5151515151515151,0.42857142857142855,0.08658008658008658,0.6512820512820513,0.6458333333333334,0.005448717948717949,SL,2,12
0.22580645161290322,0.2,0.025806451612903226,0.2695035460992908,0.13445378151260504,0.13504976458668574,0.22580645161290322,0.2,0.025806451612903226,0.2695035460992908,0.13445378151260504,0.13504976458668574,SS,2,12
0.23076923076923078,0.16666666666666666,0.06410256410256411,0.5538461538461539,0.3829787234042553,0.17086743044189853,0.23076923076923078,0.16666666666666666,0.06410256410256411,0.5538461538461539,0.3829787234042553,0.17086743044189853,SL,2,13
0.26666666666666666,0.21428571428571427,0.05238095238095238,0.4696132596685083,0.3142857142857143,0.155327545382794,0.26666666666666666,0.21428571428571427,0.05238095238095238,0.4696132596685083,0.3142857142857143,0.155327545382794,SS,2,13
