feature,loading,sign
carb_mg_cm2,-0.5637313764170158,-
protein_mg_cm2,-0.5340364619927547,-
afdw_mg_cm2,-0.4733956028665821,-
zoox_cells_cm2,-0.38809282424861813,-
growth_vol_b,-0.14930691698161197,-
