scenario_id,scenario_type,requested_n_species,n_species_full_scope,n_species_condition_scope,species,total_count,prevalence,genus,family,abundance_rank,total_count_condition,prevalence_condition
all_observed_species,reference_full,118,118,96,Trapezia areolata,4,4,Trapezia,Trapeziidae,61,4,4
all_observed_species,reference_full,118,118,96,Eratoena schmeltziana,4,3,Eratoena,Eratoidae,62,2,2
all_observed_species,reference_full,118,118,96,Monetaria obvelata,4,2,Monetaria,Cypraeidae,63,NA,NA
all_observed_species,reference_full,118,118,96,Pomacentrus pavo,4,2,Pomacentrus,Pomacentridae,64,4,2
all_observed_species,reference_full,118,118,96,Harpiliopsis depressa,4,1,Harpiliopsis,Palaemonidae,65,NA,NA
all_observed_species,reference_full,118,118,96,Alpheus pachychirus,3,3,Alpheus,Alpheidae,66,2,2
all_observed_species,reference_full,118,118,96,Kermia maculosa,3,3,Kermia,Raphitomidae,67,3,3
all_observed_species,reference_full,118,118,96,Parelasmopus suensis,3,3,Parelasmopus,Maeridae,68,2,2
all_observed_species,reference_full,118,118,96,Rissoina heronensis,3,3,Rissoina,Rissoinidae,69,3,3
all_observed_species,reference_full,118,118,96,Cerithium columna,3,2,Cerithium,Cerithiidae,70,1,1
all_observed_species,reference_full,118,118,96,Domecia glabra,3,2,Domecia,Domeciidae,71,3,2
all_observed_species,reference_full,118,118,96,Gobiodon unicolor,3,2,Gobiodon,Gobiidae,72,3,2
all_observed_species,reference_full,118,118,96,Prodotia iostoma,3,2,Prodotia,Prodotiidae,73,3,2
all_observed_species,reference_full,118,118,96,Thor amboinensis,3,2,Thor,Thoridae,74,NA,NA
all_observed_species,reference_full,118,118,96,Ophiactis savignyi,3,1,Ophiactis,Ophiactidae,75,NA,NA
all_observed_species,reference_full,118,118,96,Alpheus paracrinitus,2,2,Alpheus,Alpheidae,76,1,1
all_observed_species,reference_full,118,118,96,Alpheus parvirostris,2,2,Alpheus,Alpheidae,77,NA,NA
all_observed_species,reference_full,118,118,96,Atys semistriatus,2,2,Atys,Haminoeidae,78,NA,NA
all_observed_species,reference_full,118,118,96,Haurakia marmorata,2,2,Haurakia,Rissoidae,79,2,2
all_observed_species,reference_full,118,118,96,Liomera bella,2,2,Liomera,Xanthidae,80,NA,NA
all_observed_species,reference_full,118,118,96,Morula uva,2,2,Morula,Muricidae,81,NA,NA
all_observed_species,reference_full,118,118,96,Neocirrhites armatus,2,2,Neocirrhites,Cirrhitidae,82,2,2
all_observed_species,reference_full,118,118,96,Paracirrhites arcatus,2,2,Paracirrhites,Cirrhitidae,83,2,2
all_observed_species,reference_full,118,118,96,Chlorocurtis jactans,2,1,Chlorocurtis,Chlorotocellidae,84,NA,NA
all_observed_species,reference_full,118,118,96,Chromis atripectoralis,2,1,Chromis,Pomacentridae,85,2,1
all_observed_species,reference_full,118,118,96,Purpuradusta fimbriata,2,1,Purpuradusta,Cypraeidae,86,NA,NA
all_observed_species,reference_full,118,118,96,Saron marmoratus,2,1,Saron,Hippolytidae,87,NA,NA
all_observed_species,reference_full,118,118,96,Alpheus clypeatus,1,1,Alpheus,Alpheidae,88,1,1
all_observed_species,reference_full,118,118,96,Antennatus tuberosus,1,1,Antennatus,Antennariidae,89,1,1
all_observed_species,reference_full,118,118,96,Astralium confragosum,1,1,Astralium,Turbinidae,90,1,1
all_observed_species,reference_full,118,118,96,Bittium glareosum,1,1,Bittium,Cerithiidae,91,1,1
all_observed_species,reference_full,118,118,96,Caducifer decapitatus,1,1,Caducifer,Pisaniidae,92,1,1
all_observed_species,reference_full,118,118,96,Calcinus nitidus,1,1,Calcinus,Diogenidae,93,1,1
all_observed_species,reference_full,118,118,96,Coriophora ustulata,1,1,Coriophora,Triphoridae,94,1,1
all_observed_species,reference_full,118,118,96,Cyclodius ungulatus,1,1,Cyclodius,Xanthidae,95,1,1
all_observed_species,reference_full,118,118,96,Diadema savignyi,1,1,Diadema,Diadematidae,96,NA,NA
all_observed_species,reference_full,118,118,96,Domiporta filaris,1,1,Domiporta,Mitridae,97,NA,NA
all_observed_species,reference_full,118,118,96,Drupella margariticola,1,1,Drupella,Muricidae,98,NA,NA
all_observed_species,reference_full,118,118,96,Eucithara paucicostata,1,1,Eucithara,Mangeliidae,99,1,1
all_observed_species,reference_full,118,118,96,Galathea spinosorostris,1,1,Galathea,Galatheidae,100,NA,NA
all_observed_species,reference_full,118,118,96,Graphicomassa margarita,1,1,Graphicomassa,Columbellidae,101,1,1
all_observed_species,reference_full,118,118,96,Lienardia fallax,1,1,Lienardia,Clathurellidae,102,1,1
all_observed_species,reference_full,118,118,96,Ophiocoma schoenleinii,1,1,Ophiocoma,Ophiocomidae,103,NA,NA
all_observed_species,reference_full,118,118,96,Ophiocomella sexradia,1,1,Ophiocomella,Ophiocomidae,104,NA,NA
all_observed_species,reference_full,118,118,96,Ophiolepis cincta,1,1,Ophiolepis,Ophiolepididae,105,1,1
all_observed_species,reference_full,118,118,96,Ophiomastix elegans,1,1,Ophiomastix,Ophiocomidae,106,1,1
all_observed_species,reference_full,118,118,96,Peristernia nassatula,1,1,Peristernia,Fasciolariidae,107,NA,NA
all_observed_species,reference_full,118,118,96,Pseudocheilinus hexataenia,1,1,Pseudocheilinus,Labridae,108,NA,NA
all_observed_species,reference_full,118,118,96,Quadrimaera quadrimana,1,1,Quadrimaera,Maeridae,109,NA,NA
all_observed_species,reference_full,118,118,96,Scabricola olivaeformis,1,1,Scabricola,Mitridae,110,1,1
all_observed_species,reference_full,118,118,96,Stegastes nigricans,1,1,Stegastes,Pomacentridae,111,1,1
all_observed_species,reference_full,118,118,96,Tetralia ocucaerulea,1,1,Tetralia,Tetraliidae,112,1,1
all_observed_species,reference_full,118,118,96,Thalamita admete,1,1,Thalamita,Portunidae,113,1,1
all_observed_species,reference_full,118,118,96,Trapezia bella,1,1,Trapezia,Trapeziidae,114,1,1
all_observed_species,reference_full,118,118,96,Trapezia speciosa,1,1,Trapezia,Trapeziidae,115,1,1
all_observed_species,reference_full,118,118,96,Vexillum aureolatum,1,1,Vexillum,Costellariidae,116,1,1
all_observed_species,reference_full,118,118,96,Vexillum roseum,1,1,Vexillum,Costellariidae,117,NA,NA
all_observed_species,reference_full,118,118,96,Vexillum tusum,1,1,Vexillum,Costellariidae,118,NA,NA
damselfish_only,functional_subset,5,5,5,Dascyllus aruanus,197,39,Dascyllus,Pomacentridae,7,168,32
damselfish_only,functional_subset,5,5,5,Dascyllus flavicaudus,113,28,Dascyllus,Pomacentridae,12,106,25
damselfish_only,functional_subset,5,5,5,Pomacentrus pavo,4,2,Pomacentrus,Pomacentridae,64,4,2
damselfish_only,functional_subset,5,5,5,Chromis atripectoralis,2,1,Chromis,Pomacentridae,85,2,1
damselfish_only,functional_subset,5,5,5,Stegastes nigricans,1,1,Stegastes,Pomacentridae,111,1,1
main_38_10x10_corrected,reference_main,38,38,38,Fennera chacei,1216,48,Fennera,Palaemonidae,1,1080,41
main_38_10x10_corrected,reference_main,38,38,38,Galeropsis monodonta,1028,53,Galeropsis,Muricidae,2,974,44
main_38_10x10_corrected,reference_main,38,38,38,Periclimenes watamuae,327,35,Periclimenes,Palaemonidae,3,302,31
main_38_10x10_corrected,reference_main,38,38,38,Trapezia serenei,314,54,Trapezia,Trapeziidae,4,257,44
main_38_10x10_corrected,reference_main,38,38,38,Harpiliopsis spinigera,266,52,Harpiliopsis,Palaemonidae,5,237,44
main_38_10x10_corrected,reference_main,38,38,38,Calcinus latens,224,44,Calcinus,Diogenidae,6,150,36
main_38_10x10_corrected,reference_main,38,38,38,Dascyllus aruanus,197,39,Dascyllus,Pomacentridae,7,168,32
main_38_10x10_corrected,reference_main,38,38,38,Paragobiodon modestus,156,41,Paragobiodon,Gobiidae,8,136,34
main_38_10x10_corrected,reference_main,38,38,38,Apataxia cerithiiformis,145,37,Apataxia,Rissoinidae,9,110,29
main_38_10x10_corrected,reference_main,38,38,38,Galathea mauritiana,130,30,Galathea,Galatheidae,10,54,21
main_38_10x10_corrected,reference_main,38,38,38,Athanas djiboutensis,115,27,Athanas,Alpheidae,11,74,20
main_38_10x10_corrected,reference_main,38,38,38,Dascyllus flavicaudus,113,28,Dascyllus,Pomacentridae,12,106,25
main_38_10x10_corrected,reference_main,38,38,38,Alpheus lottini,111,40,Alpheus,Alpheidae,13,89,33
main_38_10x10_corrected,reference_main,38,38,38,Synalpheus charon,92,50,Synalpheus,Alpheidae,14,78,41
main_38_10x10_corrected,reference_main,38,38,38,Diala albugo,92,34,Diala,Dialidae,15,74,26
main_38_10x10_corrected,reference_main,38,38,38,Cerithium zebrum,91,37,Cerithium,Cerithiidae,16,79,30
main_38_10x10_corrected,reference_main,38,38,38,Chlorodiella barbata,76,22,Chlorodiella,Xanthidae,17,19,14
main_38_10x10_corrected,reference_main,38,38,38,Hargeria rapax,67,28,Hargeria,Leptocheliidae,18,39,22
main_38_10x10_corrected,reference_main,38,38,38,Diala semistriata,57,25,Diala,Dialidae,19,46,18
main_38_10x10_corrected,reference_main,38,38,38,Luniella pugil,50,31,Luniella,Xanthidae,20,39,26
main_38_10x10_corrected,reference_main,38,38,38,Mitrella moleculina,39,14,Mitrella,Columbellidae,21,17,9
main_38_10x10_corrected,reference_main,38,38,38,Strigatella assimilis,36,23,Strigatella,Mitridae,22,28,19
main_38_10x10_corrected,reference_main,38,38,38,Menaethius monoceros,35,18,Menaethius,Epialtidae,23,18,10
main_38_10x10_corrected,reference_main,38,38,38,Harpiliopsis beaupresii,28,13,Harpiliopsis,Palaemonidae,24,24,11
main_38_10x10_corrected,reference_main,38,38,38,Caracanthus maculatus,27,22,Caracanthus,Scorpaenidae,25,26,21
main_38_10x10_corrected,reference_main,38,38,38,Morula zebrina,26,14,Morula,Muricidae,26,19,11
main_38_10x10_corrected,reference_main,38,38,38,Carinomitra typha,25,16,Carinomitra,Mitridae,27,21,13
main_38_10x10_corrected,reference_main,38,38,38,Pascula muricata,25,11,Pascula,Muricidae,28,19,7
main_38_10x10_corrected,reference_main,38,38,38,Coralliogalathea humilis,22,12,Coralliogalathea,Galatheidae,29,12,8
main_38_10x10_corrected,reference_main,38,38,38,Stomatolina rubra,20,13,Stomatolina,Trochidae,30,15,10
