effect,term,estimate,std.error,statistic,df,p.value
fixed,(Intercept),0.0029473080280724155,0.2925341188972879,0.010075091545500198,10.013207504151621,0.9921592834330263
fixed,comm_PC1,-0.29044043410637305,0.14171071222991652,-2.049530550909603,38.80384624380153,0.04721300838787144
