var,growth_vol_b,protein_mg_cm2,carb_mg_cm2,zoox_cells_cm2,afdw_mg_cm2
growth_vol_b,1,0.2898769960271882,0.20521196547906326,-0.0876473187527031,0.013510582776383588
protein_mg_cm2,0.2898769960271882,1,0.8192169625182345,0.30231045390641087,0.520212088915339
carb_mg_cm2,0.20521196547906326,0.8192169625182345,0.9999999999999998,0.47625990087524644,0.5577331523948267
zoox_cells_cm2,-0.0876473187527031,0.30231045390641087,0.47625990087524644,1,0.45300269694347167
afdw_mg_cm2,0.013510582776383588,0.520212088915339,0.5577331523948267,0.45300269694347167,1
