Data_Type,Observed_Cscore,Mean_Null,SD_Null,SES,p_value
Incidence,0.19052102950408034,21.13614633953617,0.16250366002603006,-128.89325266075232,0.01
Abundance,0.19052102950408034,20.72804241165823,0.11305127511909399,-181.66554389164457,0.01
