term,estimate,std.error,statistic,p.value,conf.low,conf.high
(Intercept),10.32453717831309,0.5308632484363026,19.448581548496314,3.374686447570679e-16,9.228889283444223,11.420185073181957
treatment3,2.2654636081975847,1.061726496872605,2.1337544225096368,0.04328478914320726,0.07416781845985243,4.456759397935317
treatment6,3.601838604755401,1.4045321355463563,2.564440153129215,0.01701530907051603,0.7030267504409378,6.500650459069865
