habitat,n_nodes,n_edges,density,transitivity,modularity
1,38,56,0.07965860597439545,0.2916666666666667,0.595184621294213
3,38,56,0.07965860597439545,0.16551724137931034,0.5482375893259873
6,38,56,0.07965860597439545,0.17266187050359713,0.5516548317426259
