habitat,n_nodes,n_edges,density,transitivity,modularity
1,38,17,0.02418207681365576,0.782608695652174,0.7379254640420551
3,38,14,0.01991465149359886,0.6666666666666666,0.46139659174950465
6,38,5,0.007112375533428164,0,0.7975077504725898
