coral_id,position,treatment,branch_width,size_class,length_june,width_june,height_june,volume_est_june,percent_alive_dec,length_dec,width_dec,height_dec,volume_est_dec,length_may21,width_may21,height_may21,percent_alive_may21,protein_mg_cm2,carb_mg_cm2,zoox_cells_cm2,afdw_mg_cm2,surface_area_cm2_dec2019,height_mean_cm_dec2019,volume_cm3_dec2019,extent_volume_cm3_dec2019,surface_area_cm2_may2021,height_mean_cm_may2021,volume_cm3_may2021,extent_volume_cm3_may2021,cafi_abundance,cafi_richness,fish_abundance,fish_richness
FE-POC35,2-5,CAFI,tight,17,15,12,11,1036.725576,100,15,12,11,1036.725576,19,13,11,100,0.00551870466707627,6.88429963054445e-4,3525.240862967435,0.0772416012335006,643.2979534,11.90865379,799.2149963,2347.931599,6075.164823,31.5364317,10960.59597,37912.06778,74,19,4,1
FE-POC54,2-6,CAFI,tight,26,25,24,20,6283.185307,95,28,25,14,5131.268001,30,23,22,100,0.0046143523388735,5.9882645484784e-4,5582.949326351615,0.07307366430398525,1976.520107,20.97088732,3605.883262,10906.60779,3152.616023,24.50115572,7466.379921,19074.43947,192,28,34,1
FE-POC42,2-7,empty,wide,26,27,24,20,6785.840132,95,29,24,19,6924.070209,27,26,18,100,0.002458550387869995,5.12713970225545e-4,4080.244727007385,0.0823034696105205,3320.402266,21.65175498,3503.766523,13436.68426,4783.814336,26.76166461,7121.455008,24760.02308,276,42,50,1
FE-POC16,2-8,empty,tight,20,23,20,15,3612.831552,100,24,19,12,2865.1325,24,19,14,100,0.004255125955606505,6.630478711163849e-4,2343.71585398629,0.09788395539210515,2221.049528,15.73864598,2210.363923,7156.01642,2354.526707,17.69983961,3237.866405,9901.944922,93,18,50,1
FE-POC07,2-9,CAFI,wide,47,50,37,23,22279.1279,85,47,45,31,34329.75372,54,37,24,93,0.004730733112896296,6.6173345060914e-4,7958.03981237645,0.07183167440862259,8918.099129,31.58491636,13686.80813,66821.96336,11253.63142,38.14712951,21591.65801,99789.20203,213,32,82,1
FE-POC59,2-10,empty,tight,44,42,37,30,24410.17492,75,40,35,33,24190.26343,41,39,30,60,0.005411766392037821,7.5922209933657e-4,4386.181331132515,0.0726954296627762,7521.728929,33.095906,18987.20852,57242.51339,8606.932906,33.84641981,22746.53637,78018.10011,728,58,46,1
FE-POC17,2-11,CAFI,tight,44,47,33,29,23550.94933,75,42,27,29,17219.06933,46,31,27,95,0.00433412139928271,5.590252073252e-4,5680.609455791405,0.08887630727198775,7483.069778,29.99363274,14433.51714,47648.87214,8250.75476,34.84194011,22357.16402,72837.93935,498,46,172,1
FE-POC11,2-12,empty,wide,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00347694207171341,5.9483193049674e-4,4893.464244105865,0.0966257582906605,1289.572613,15.29769997,996.6944023,5009.343923,2593.24046,19.99884851,2677.26709,12516.20626,168,32,30,1
FE-POC40,2-13,empty,tight,11,12,12,8,603.1857895,100,13,11,8,598.9969993,13,13,9,100,0.005540540488538515,9.03415347579195e-4,4476.309669326845,0.17236991137981791,NA,NA,NA,NA,693.7156717,11.18636848,791.5610154,2200.841301,82,16,13,1
FE-POC33,2-14,empty,tight,29,29,25,24,9110.618695,95,30,27,15,6361.725124,27,28,20,70,0.0034080006694605447,5.31567707458925e-4,2970.28478116227,0.2071503954034108,2924.399402,23.11574799,5409.278389,16454.5177,3146.411688,23.72351575,7947.722998,21495.23783,830,54,203,1
FE-POC51,2-15,CAFI,tight,8,9,9,5,212.0575041,100,11,9,6,311.0176727,14,13,9,100,0.005770556341550225,8.95261475329205e-4,4281.315255477225,0.1424816271944468,228.0839161,7.76560971,216.6586035,765.0828761,572.8487515,10.56845699,715.2689372,2095.971181,63,21,7,1
FE-POC27,3-1,empty,wide,11,11,10,9,518.3627878,100,12,10,10,628.3185307,17,16,14,100,0.00494281270583798,6.50629257895235e-4,3347.661421527515,0.06277509790455024,322.199418,8.784716447,248.7547711,1087.799728,849.5767564,13.26989064,618.8491265,4216.832575,97,14,7,1
FE-POC21,3-2,CAFI,wide,17,15,10,10,785.3981634,100,16,11,12,1105.840614,16,23,17,100,0.0043702231947921055,7.58418057527955e-4,7157.132992783905,0.0912669076575246,638.0763046,13.20991811,418.2380947,2558.237291,1616.497996,15.88580138,1437.77559,6185.906426,98,18,9,1
FE-POC02,3-3,empty,wide,5,7,7,9,230.90706,100,8,6,9,226.1946711,14,10,12,100,0.0052841789723616205,4.67199655949535e-4,3736.6406302612004,0.09154235178542616,194.3188062,8.741676917,155.6784202,613.3315858,658.8727495,12.49841144,536.7268501,2549.920093,37,11,1,1
FE-POC45,3-4,empty,tight,35,32,25,17,7120.943348,95,32,23,19,7322.005278,27,23,19,30,0.00540012415818342,7.4505781352261e-4,4431.92369710827,0.115633272325674,3165.735872,20.524768,7609.806478,18489.25959,3395.025719,20.06557747,5709.406346,20441.75699,572,45,38,1
FE-POC15,3-5,CAFI,tight,23,23,22,15,3974.114707,90,24,19,20,4775.220833,23,23,19,90,0.005457174461518366,8.6259950156976e-4,5744.9288528242505,0.217020590953106,1927.44403,17.92981275,3415.248953,9235.537112,2453.604301,21.25948084,5734.919766,15395.57672,208,29,34,1
FE-POC08,3-6,CAFI,tight,38,29,25,15,5694.136685,97,30,23,22,7948.229414,27,32,19,83,0.005691269135268354,9.63308411522755e-4,5408.005246138745,0.1443775102141139,3571.876023,21.13483036,7647.147792,19825.18097,4698.286227,23.63381664,10974.64664,26781.14461,557,44,106,1
FE-POC41,3-7,empty,wide,47,35,31,28,15906.9308,75,34,30,28,14953.98103,33,37,31,83,0.0061462338620548295,0.001109708126474655,9203.288237355486,0.13130871652554166,5843.221047,31.97849869,10921.39318,40843.96698,6782.576148,36.6806761,16119.40587,54048.81955,1019,70,137,1
FE-POC55,3-8,CAFI,tight,29,27,26,16,5881.061448,95,25,24,18,5654.866776,25,28,20,93,0.0063558878572493906,6.2677351972938e-4,3983.6930297332,0.1332523663127855,3640.491369,20.43476629,3770.274863,14863.36366,3424.922371,22.756682,6637.309943,19912.13485,206,21,62,1
FE-POC10,3-9,empty,wide,8,10,7,10,366.5191429,95,10,8,8,335.1032164,12,9,13,100,0.0051719649199672545,8.568560873160099e-4,5999.685797273555,0.0946271972462917,251.0246867,8.948469399,163.2472817,725.799219,457.1307095,10.79748506,419.1308834,1472.461989,72,18,6,1
FE-POC58,3-10,CAFI,tight,47,49,35,19,17061.4661,75,46,31,30,22399.55562,40,26,19,60,0.0061260964930495605,7.23815153524865e-4,5063.289691388985,0.2174251755738485,6124.20756,27.03134354,11290.60153,43684.42151,NA,NA,NA,NA,647,52,138,1
FE-POC47,3-11,empty,tight,38,39,34,21,14580.13151,99,37,31,20,12011.35591,37,34,21,90,0.005720744467974865,9.267144208427e-4,10274.96299455185,0.08631873337356315,5376.771686,24.73342628,9897.586883,33799.01483,5856.068183,27.95995917,14065.1544,51472.89925,648,54,490,1
FE-POC47,3-11,empty,tight,38,39,34,21,14580.13151,99,37,31,20,12011.35591,37,34,21,90,0.005720744467974865,9.267144208427e-4,10274.96299455185,0.08631873337356315,5376.771686,24.73342628,9897.586883,33799.01483,6362.080493,28.74968814,21517.14244,54912.22868,648,54,490,1
FE-POC31,3-12,empty,wide,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0037952508835242147,8.186440192249149e-4,5893.61548811305,0.06018715186425265,4805.093835,23.98372747,5739.181742,26108.52618,6210.588749,28.7240413,10148.03306,37948.03674,281,33,126,3
FE-POC25,3-13,empty,tight,8,11,9,6,311.0176727,95,11,8,9,414.6902303,10,13,9,60,0.0044033987624090155,6.1389792840268e-4,4656.682800453355,0.16717451042909648,290.7161083,8.517466376,220.5509343,775.3195141,373.5471284,9.940333673,387.2934824,1297.302483,75,15,23,1
FE-POC12,3-14,empty,wide,23,23,19,20,4576.253299,93,25,21,22,6047.565858,23,28,23,100,0.00475760327292681,7.8113996010402e-4,8352.784825292696,0.09867503919321191,2215.633156,22.05260061,2220.910774,13897.29051,3032.272601,26.88075215,4793.433477,22826.30491,285,32,82,2
FE-POC44,3-15,CAFI,wide,8,10,8,7,293.2153143,100,10,7,7,256.5634,13,13,11,100,0.004250323777580345,8.78399786416335e-4,5205.965392285199,0.12202119072902501,165.7253246,6.439168272,79.21076855,452.2626732,449.5584502,10.33636112,264.248963,1961.880857,15,5,110,1
FE-POC53,4-1,CAFI,wide,23,23,21,12,3034.778503,97,24,21,14,3694.512961,29,24,17,NA,0.004807523878471285,6.6798687656689e-4,5154.28560211283,0.07265737559600224,2276.189103,15.72329728,1952.843576,9280.783049,3395.132747,18.79911197,3081.556816,15770.00775,136,25,59,1
FE-POC34,4-2,empty,wide,41,38,34,22,14882.7716,65,36,35,24,15833.62697,44,33,31,NA,0.00224682138001778,3.4139087097635e-4,1118.65677043166,0.0261168473096795,6095.517454,27.92798051,6364.240042,40544.39669,7248.688118,32.16497503,12622.70167,54949.31138,159,24,44,1
FE-POC49,4-3,CAFI,wide,5,7,5,5,91.62978573,95,6,6,5,94.24777961,11,10,7,NA,0.00336384481778384,7.2014705213485e-4,3117.47872818239,0.328330206378987,72.04947489,4.832811404,37.60040069,193.5023765,236.8083716,8.177667031,162.8222793,908.4660429,45,7,13,1
FE-POC06,4-4,CAFI,tight,41,35,24,17,7476.990516,98,37,28,20,10848.96663,39,28,21,NA,0.00629779331971124,7.95606929409675e-4,3822.3175498277196,0.12719243694846805,3397.533971,22.71855296,7901.667142,23568.43987,3972.813235,24.17645027,10630.27341,30226.27017,244,27,47,1
FE-POC38,4-5,empty,tight,32,31,25,21,8521.570073,90,32,28,23,10790.32357,34,32,24,NA,0.00476770080926095,5.30538575060595e-4,2298.577740684975,0.09249014720121874,3570.570345,23.36726242,7344.699003,24371.80022,5134.659333,27.51570531,11853.63538,35851.37753,371,49,422,1
FE-POC32,4-6,CAFI,wide,35,32,30,29,14576.98991,70,32,30,27,13571.68026,40,33,34,NA,0.00710415848325561,0.0010926902555573599,6797.456877669295,0.14596254109443163,5532.240029,29.49713892,3843.085385,30992.31278,7849.939926,33.60999292,7100.559312,49728.19973,129,21,216,1
FE-POC32,4-6,CAFI,wide,35,32,30,29,14576.98991,70,32,30,27,13571.68026,40,33,34,NA,0.00710415848325561,0.0010926902555573599,6797.456877669295,0.14596254109443163,5532.240029,29.49713892,3843.085385,30992.31278,5097.697841,24.83730415,9940.693505,29697.19176,129,21,216,1
FE-POC14,4-7,CAFI,wide,32,28,21,20,6157.521601,75,28,21,21,6465.397681,38,34,25,NA,0.005041224217192405,9.25965752903305e-4,5359.989860992685,0.06769013114761074,3227.31316,21.89190333,3486.102457,14740.78337,4804.53536,26.41598849,5684.156701,25726.07634,208,33,103,2
FE-POC26,4-8,empty,tight,5,7,7,5,128.2817,95,8,7,7,205.25072,12,11,8,NA,0.00548037545520826,6.559987532297e-4,2733.274501069225,0.08830807760477824,150.5236623,6.122286263,106.86435,339.4399977,462.0771075,8.751333694,419.3794304,1305.494361,56,14,4,1
FE-POC60,4-9,empty,wide,29,32,33,19,10505.48583,80,38,31,21,12952.78651,38,30,24,NA,0.00513968242965065,0.0011226794265724199,7328.084836050386,0.127449856447285,4107.234747,21.43110558,5104.510054,26170.90298,5693.270692,24.60761599,8836.73804,36655.617,267,27,103,2
FE-POC24,4-10,empty,tight,47,47,40,25,24609.14245,65,44,38,27,23637.34313,48,38,26,NA,0.006461045876299035,0.002162219252899555,6509.56816114609,0.0721248472322746,7934.09047,25.84591526,15059.31867,47198.36393,10791.832,30.98780063,24267.40183,77810.49542,724,54,593,1
FE-POC03,4-11,empty,tight,14,11,13,10,748.7462491,99,15,12,12,1130.973355,18,16,14,NA,0.00329131569546801,5.5115704816479e-4,2431.4781024654712,0.1294300479833969,595.1038089,11.371312380000001,622.9884277,1994.03753,1250.32525,15.19956484,1644.064752,5036.419615,121,29,9,1
FE-POC39,4-12,empty,tight,23,22,23,14,3709.173726,95,24,23,16,4624.424386,23,22,18,NA,0.00576830617087806,6.643933367242401e-4,4288.8737228679765,0.13017027923821695,2006.319342,18.18379915,3414.070966,10214.89438,2160.52485,19.85037325,4522.143504,12238.22008,227,37,15,1
FE-POC36,4-13,CAFI,tight,14,13,12,8,653.4512719,100,14,14,9,923.6282402,19,17,12,NA,0.00680055203754577,8.9099904595126e-4,4824.1602755505155,0.224441118437954,627.4409703,9.189595693,597.5588318,1829.052652,1278.072438,12.5867678,1565.611462,4775.851203,113,25,2,1
FE-POC50,4-14,empty,wide,35,35,26,24,11435.39726,90,33,22,25,9503.317777,36,25,27,NA,0.004706593880635035,6.1293496664095e-4,6197.185230051375,0.0837222309667538,3620.826213,25.617014,5625.995295,22037.30825,NA,NA,NA,NA,370,39,393,1
FE-POC19,4-15,CAFI,tight,32,33,30,20,10367.25576,85,35,30,22,12095.13172,31,30,24,NA,0.00718343141664255,8.47399197276525e-4,6090.884912627425,0.12268326591759805,4959.389633,23.19755548,9439.806126,25134.67998,NA,NA,NA,NA,568,50,94,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,449.3933329,8.778718644,472.8227411,1317.28957,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,449.3933329,8.778718644,472.8227411,1317.28957,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,449.3933329,8.778718644,472.8227411,1317.28957,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,449.3933329,8.778718644,472.8227411,1317.28957,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,449.3933329,8.778718644,472.8227411,1317.28957,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,449.3933329,8.778718644,472.8227411,1317.28957,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,449.3933329,8.778718644,472.8227411,1317.28957,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,449.3933329,8.778718644,472.8227411,1317.28957,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,449.3933329,8.778718644,472.8227411,1317.28957,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,449.3933329,8.778718644,472.8227411,1317.28957,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,449.3933329,8.778718644,472.8227411,1317.28957,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,449.3933329,8.778718644,472.8227411,1317.28957,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,449.3933329,8.778718644,472.8227411,1317.28957,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,449.3933329,8.778718644,472.8227411,1317.28957,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,449.3933329,8.778718644,472.8227411,1317.28957,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,449.3933329,8.778718644,472.8227411,1317.28957,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,449.3933329,8.778718644,472.8227411,1317.28957,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,449.3933329,8.778718644,472.8227411,1317.28957,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,449.3933329,8.778718644,472.8227411,1317.28957,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,449.3933329,8.778718644,472.8227411,1317.28957,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,449.3933329,8.778718644,472.8227411,1317.28957,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,449.3933329,8.778718644,472.8227411,1317.28957,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,449.3933329,8.778718644,472.8227411,1317.28957,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,449.3933329,8.778718644,472.8227411,1317.28957,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,449.3933329,8.778718644,472.8227411,1317.28957,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,449.3933329,8.778718644,472.8227411,1317.28957,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,449.3933329,8.778718644,472.8227411,1317.28957,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,449.3933329,8.778718644,472.8227411,1317.28957,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,449.3933329,8.778718644,472.8227411,1317.28957,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,449.3933329,8.778718644,472.8227411,1317.28957,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,449.3933329,8.778718644,472.8227411,1317.28957,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,449.3933329,8.778718644,472.8227411,1317.28957,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,449.3933329,8.778718644,472.8227411,1317.28957,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,449.3933329,8.778718644,472.8227411,1317.28957,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,449.3933329,8.778718644,472.8227411,1317.28957,NA,NA,NA,NA,NA,NA,NA,NA
