species,treatment,observed_mean,observed_sd,n,lower_obs,upper_obs,expected_median_3,expected_lower_3,expected_upper_3,expected_median_6,expected_lower_6,expected_upper_6,expected_median,expected_lower,expected_upper,direction,diff,sig
Luniella pugil,3,2,1.6733200530681511,6,0.6610650999146124,3.3389349000853876,2,0,8,5,1,13,2,0,8,Proportional,0,FALSE
Luniella pugil,6,7,4.58257569495584,3,1.8143274303134023,12.185672569686599,2,0,8,5,1,13,5,1,13,Proportional,2,FALSE
Menaethius monoceros,3,1.8333333333333333,1.3291601358251257,6,0.7697837210548191,2.8968829456118472,1,0,7,3,0,11,1,0,7,Proportional,0.8333333333333333,FALSE
Menaethius monoceros,6,4.666666666666667,4.041451884327381,3,0.09333333333333371,9.24,1,0,7,3,0,11,3,0,11,Proportional,1.666666666666667,FALSE
Mitrella moleculina,3,0.8333333333333333,1.1690451944500122,6,-0.10209764280072198,1.7687643094673886,0,0,2,1,0,2,0,0,2,Proportional,0.8333333333333333,FALSE
Mitrella moleculina,6,10.666666666666666,2.309401076758503,3,8.053333333333333,13.28,0,0,2,1,0,2,1,0,2,Above Expected,9.666666666666666,TRUE
Morula zebrina,3,0.6666666666666667,1.2110601416389966,6,-0.30238326898049983,1.6357166023138334,0,0,3,1,0,4,0,0,3,Proportional,0.6666666666666667,FALSE
Morula zebrina,6,6,2,3,3.7367869447766666,8.263213055223334,0,0,3,1,0,4,1,0,4,Proportional,5,FALSE
Paragobiodon modestus,3,8.333333333333334,6.0882400303098,6,3.4617267080903726,13.204939958576295,9,2,18,19,8,31,9,2,18,Proportional,-0.6666666666666661,FALSE
Paragobiodon modestus,6,16.333333333333332,8.504900548115382,3,6.709132356397925,25.95753431026874,9,2,18,19,8,31,19,8,31,Proportional,-2.666666666666668,FALSE
Pascula muricata,3,0.5,0.5477225575051661,6,0.06173067641004126,0.9382693235899587,0,0,1,0,0,2,0,0,1,Proportional,0.5,FALSE
Pascula muricata,6,7,7,3,-0.9212456932816657,14.921245693281666,0,0,1,0,0,2,0,0,2,Proportional,7,FALSE
Periclimenes watamuae,3,22.333333333333332,15.05545305418162,6,10.286461909137293,34.38020475752937,18,3,82,45,11,128,18,3,82,Proportional,4.333333333333332,FALSE
Periclimenes watamuae,6,11,13.45362404707371,3,-4.224208791701898,26.224208791701898,18,3,82,45,11,128,45,11,128,Proportional,-34,FALSE
Stomatolina rubra,3,1.6666666666666665,3.2041639575194445,6,-0.8971984710588821,4.230531804392215,0,0,2,1,0,2,0,0,2,Proportional,1.6666666666666665,FALSE
Stomatolina rubra,6,2.6666666666666665,3.0550504633038935,3,-0.7904483797910657,6.123781713124399,0,0,2,1,0,2,1,0,2,Proportional,1.6666666666666665,FALSE
Strigatella assimilis,3,1.1666666666666667,1.602081978759722,6,-0.11526590219610733,2.448599235529441,1,0,5,3,0,7,1,0,5,Proportional,0.16666666666666674,FALSE
Strigatella assimilis,6,6.666666666666667,5.131601439446884,3,0.8597129806871484,12.473620352646186,1,0,5,3,0,7,3,0,7,Proportional,3.666666666666667,FALSE
Synalpheus charon,3,5.5,0.8366600265340756,6,4.830532549957306,6.169467450042694,5,2,7,10,6,13,5,2,7,Proportional,0.5,FALSE
Synalpheus charon,6,10,3.4641016151377544,3,6.08,13.92,5,2,7,10,6,13,10,6,13,Proportional,0,FALSE
Trapezia serenei,3,18.5,4.370354676682432,6,15.002987942066351,21.99701205793365,14,9,19,28,22,35,14,9,19,Proportional,4.5,FALSE
Trapezia serenei,6,39.666666666666664,15.821925715074425,3,21.76247224810156,57.57086108523177,14,9,19,28,22,35,28,22,35,Proportional,11.666666666666664,FALSE
